repo_owner,repo_name,Category,Number of Components,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines
10up,action-repo-automator,code review,50,30,3,7,4,43,18,5,3775,30,3,30,0,3775000
1password,load-secrets-action,security,21,30,6,11,29,14,208,10,452,30,19,30,3,452000
42crunch,api-security-audit-action,testing,94,30,3,3,14,4,33,4,3253,24,0,19,0,3253000
8398a7,action-slack,chat,59,30,6,30,134,5,595,25,6527,30,31,30,1,6527000
alexsim93,pull-request-analytics-action,monitoring,79,30,5,30,11,3,118,4,1324,30,1,30,0,1324000
anmol-baranwal,devtogithub,utilities,2,30,2,3,0,2,16,2,731,3,0,2,0,731000
apple-actions,download-provisioning-profiles,mobile,48,18,3,3,38,12,75,3,1144,17,8,9,2,1144000
artiomtr,jest-coverage-report-action,monitoring,348,30,16,30,145,4,508,30,15362,30,42,30,4,15362000
azure,cli,deployment,26,30,30,14,54,20,134,21,3931,30,11,30,1,3931000
azure,k8s-deploy,deployment,214,30,30,27,105,21,263,30,31595,30,28,30,4,31595000
azure,k8s-lint,code review,17,30,19,3,13,16,35,16,19875,30,3,30,2,19875000
azure,k8s-set-context,deployment,132,30,21,8,35,21,90,21,35689,30,5,30,2,35689000
azure,mysql,deployment,44,30,28,2,11,12,11,15,36618,30,16,30,16,36618000
azure,pipelines,deployment,8,30,26,1,88,12,81,12,3500,30,46,30,19,3500000
balastrong,chess-stats-action,utilities,9,30,2,5,4,2,22,6,758,20,3,11,0,758000
betahuhn,deploy-to-vercel-action,deployment,161,30,7,30,73,4,151,15,1151,30,15,30,6,1151000
bhacaz,docs-as-code-confluence,utilities,49,30,1,9,20,1,39,4,5316,19,3,12,0,5316000
chocobo1,setup-ccache-action,utilities,83,30,1,30,4,2,13,2,13895,20,1,9,0,13895000
circleci-public,trigger-circleci-pipeline-action,deployment,36,30,13,10,43,13,49,15,447,30,21,30,5,447000
cyberbeni,install-swift-tool,utilities,432,30,7,30,2,2,19,15,25860,30,3,30,1,25860000
cyclonedx,gh-node-module-generatebom,security,9,30,2,4,6,6,21,5,127,22,3,17,1,127000
datadog,synthetics-ci-github-action,testing,856,30,4,30,15,8,45,17,34547,30,1,30,0,34547000
davideviolante,pr-reviews-reminder-action,code review,20,30,1,30,20,4,45,6,1232,30,4,30,0,1232000
delaguardo,setup-clojure,utilities,65,30,5,30,30,9,194,14,9436,30,13,30,4,9436000
dependencytrack,gh-upload-sbom,security,4,30,3,6,26,5,48,13,127,30,6,27,2,127000
devcyclehq,feature-flag-code-usage-action,code review,419,30,7,16,4,6,19,11,1306,30,2,30,2,1306000
devcyclehq,feature-flag-pr-insights-action,code review,403,30,10,20,3,6,19,10,1668,30,5,30,4,1668000
dopplerhq,cli-action,security,15,29,3,3,9,4,52,3,1589,12,2,12,2,1589000
expediagroup,github-helpers,utilities,70,30,2,30,29,3,35,22,11017,30,3,30,2,11017000
expediagroup,spinnaker-pipeline-trigger,project management,755,30,13,9,8,3,15,7,3285,30,11,30,7,3285000
grantbirki,git-diff-action,utilities,47,30,1,20,3,2,16,4,2018,30,1,30,0,2018000
greentf,upload-thunderstore-package,publishing,6,30,5,16,4,2,15,3,174,30,0,16,0,174000
hardnorth,github-version-generate,publishing,37,30,2,9,3,2,24,2,1391,30,0,30,0,1391000
hatsunemiku3939,direnv-action,testing,71,30,4,8,12,3,27,3,5226,30,8,30,3,5226000
jamesives,fetch-api-data-action,utilities,473,30,7,27,13,2,115,7,35535,30,3,30,2,35535000
jamesives,github-pages-deploy-action,deployment,509,30,14,30,367,18,4352,30,85019,30,9,30,3,85019000
jarvusinnovations,background-action,utilities,34,30,4,5,10,5,33,7,2378,30,6,30,2,2378000
jasonetco,build-and-tag-action,publishing,80,30,1,16,36,4,96,7,539,30,16,30,7,539000
jasonetco,create-an-issue,project management,112,30,4,22,87,10,274,11,1221,30,21,30,5,1221000
jetbrains,qodana-action,security,320,30,24,30,40,15,270,15,20491,30,4,30,3,20491000
jorelali,setup-elm,continuous integration,7,30,2,6,6,3,29,7,108,12,1,8,0,108000
jtalk,url-health-check-action,testing,35,30,1,13,18,3,75,5,252,29,1,17,0,252000
julienkode,team-labeler-action,code review,589,30,15,6,43,2,49,10,55643,30,9,30,7,55643000
kylemayes,install-llvm-action,dependency management,284,30,2,29,52,6,110,11,1473,30,3,30,2,1473000
legion2,swagger-ui-action,utilities,41,30,8,13,8,2,53,4,2942,30,11,30,7,2942000
louisbrunner,checks-action,api management,40,30,2,14,57,5,207,7,2013,30,4,30,0,2013000
luisalejandro,movie-box,utilities,200,30,7,4,8,2,23,4,868,30,3,30,3,868000
markusjx,install-boost,continuous integration,120,30,4,15,4,2,68,4,3507,30,2,24,2,3507000
mastersam07,firebase-app-distribution-action,publishing,64,11,5,3,4,2,18,3,881,20,5,18,4,881000
meilcli,npm-update-check-action,utilities,30,30,6,30,1,3,24,4,3939,30,3,30,3,3939000
mishakav,pytest-coverage-comment,testing,41,30,6,30,60,2,192,15,714,30,11,30,6,714000
morrisoncole,pr-lint-action,utilities,503,30,4,19,23,3,65,13,57435,30,14,30,0,57435000
mozilla-actions,sccache-action,dependency management,33,30,6,7,24,2,129,14,1255,30,15,30,5,1255000
octopusdeploy,install-octopus-cli-action,deployment,25,30,6,16,18,17,82,17,11777,30,10,30,1,11777000
reactivecircus,android-emulator-runner,testing,28,30,6,30,201,15,1014,30,1968,30,76,30,8,1968000
readme-workflows,recent-activity,utilities,129,30,12,15,45,2,135,10,26228,30,10,30,9,26228000
rebilly,lexi,code review,582,30,1,14,2,21,39,7,5829,30,1,30,0,5829000
reedyuk,npm-version,publishing,8,30,1,7,5,3,19,5,60,9,1,5,0,60000
reggionick,s3-deploy,deployment,10,30,10,12,84,4,249,18,477,30,14,30,3,477000
satak,webrequest-action,utilities,19,30,3,10,16,2,48,2,1120,30,2,30,2,1120000
scribemd,docker-cache,utilities,575,30,4,26,28,1,105,4,50542,30,14,30,6,50542000
sethcohen,github-releases-to-discord,deployment,35,30,1,26,9,2,29,7,1232,30,1,30,0,1232000
simonscholz,google-chat-action,chat,38,30,7,2,5,2,19,2,981,30,7,30,6,981000
spectralops,spectral-github-action,security,12,28,3,5,9,3,14,8,199,15,1,10,1,199000
svanboxel,zaproxy-to-ghas,testing,25,30,2,3,4,3,16,4,326,30,6,30,2,326000
themrmilchmann,setup-msvc-dev,utilities,133,30,5,7,2,3,15,3,241025,30,1,30,1,241025000
timdaub,hetzner-cloud-deploy-server-action,deployment,5,30,1,1,14,6,33,2,92,19,7,3,0,92000
tinkurlab,issue-labeler-action,project management,26,30,4,10,2,2,12,2,1008,30,4,30,2,1008000
tinkurlab,monorepo-pr-labeler-action,code review,28,30,4,15,14,4,99,8,618,30,7,30,3,618000
tryghost,action-deploy-theme,deployment,420,30,2,14,47,14,363,15,1104,30,6,30,2,1104000
tyrrrz,action-http-request,utilities,9,27,1,1,5,2,15,2,33,9,0,9,0,33000
wandalen,wretry.action,deployment,16,30,2,30,24,4,107,8,9202,30,4,30,0,9202000
yockow,action-setup-swift,utilities,39,30,6,28,3,2,22,3,10133,30,0,30,0,10133000
zqzqsb,multisourcesnake,utilities,1154,21,1,11,0,1,25,1,2657,0,0,0,0,2657000
agallea,tests-coverage-report,code review,40,30,21,10,0,1,24,3,1340,30,7,30,4,1340000
abel0b,setup-premake,continuous integration,10,28,2,6,6,3,17,6,203,11,0,7,0,203000
abeyuya,actions-mention-to-slack,chat,45,30,12,6,21,2,58,4,9103,30,11,30,10,9103000
abronin,ecr-retag-action,utilities,594,25,1,8,8,2,28,1,2206,10,2,6,1,2206000
antongolub,action-setup-bun,continuous integration,176,30,3,30,0,3,50,2,2331,30,2,30,2,2331000
apexskier,github-release-commenter,utilities,614,30,5,30,4,3,24,3,2003,30,7,30,2,2003000
aquiladev,ipfs-action,deployment,396,30,8,29,46,3,179,4,31794,30,9,30,6,31794000
ardalanamini,auto-changelog,utilities,602,30,6,28,15,2,26,4,7842,30,8,30,5,7842000
arduino,arduino-lint-action,testing,92,30,5,4,9,10,47,9,4220,30,6,30,2,4220000
arduino,setup-arduino-cli,utilities,22,30,4,5,10,15,76,9,1073,30,2,30,1,1073000
ashutoshvarma,action-cmake-build,testing,5,30,27,1,10,2,24,3,871,30,31,30,14,871000
ashutoshvarma,setup-ninja,utilities,62,30,8,2,7,1,15,3,1846,24,12,20,9,1846000
aslafy-z,conventional-pr-title-action,code review,126,30,9,30,35,3,85,7,16446,30,0,30,0,16446000
astral-sh,setup-uv,utilities,107,30,10,30,25,4,286,14,6462,30,13,30,1,6462000
atalent-labs,404-links,code quality,51,30,3,11,2,2,18,3,11655,30,2,30,2,11655000
atlassian,gajira-create,project management,612,30,7,6,33,34,60,7,889,30,16,30,3,889000
auguwu,clippy-action,utilities,5,30,1,9,3,1,18,4,4479,30,1,30,0,4479000
autero1,action-terragrunt,deployment,39,30,9,13,25,4,59,11,1404,30,6,30,3,1404000
aws-actions,amazon-ecr-login,deployment,102,30,6,30,180,23,957,26,32618,30,32,30,2,32618000
aws-actions,amazon-ecs-render-task-definition,deployment,96,30,10,30,148,11,292,25,3468,30,30,30,3,3468000
aws-actions,aws-secretsmanager-get-secrets,security,106,30,11,17,38,6,151,8,2739,30,16,30,8,2739000
balena-io,deploy-to-balena-action,container ci,196,30,30,30,14,15,39,20,2922,30,31,30,4,2922000
batista,lint-filenames,utilities,36,30,12,3,6,2,31,3,1426,30,14,30,6,1426000
bazelbuild,setup-bazelisk,testing,76,30,1,4,9,5,56,7,1902,30,0,30,0,1902000
benc-uk,workflow-dispatch,deployment,5,30,4,4,128,6,339,5,486,30,12,30,3,486000
benchmark-action,github-action-benchmark,code quality,104,30,6,30,166,7,1064,30,5648,30,111,30,12,5648000
biomejs,setup-biome,utilities,45,30,1,10,8,7,63,11,1288,30,1,30,0,1288000
blombard,move-to-next-iteration,utilities,25,30,1,6,16,1,38,5,141,25,6,11,0,141000
bobheadxi,deployments,deployment,36,30,9,24,63,7,387,25,32070,30,12,30,6,32070000
borchero,terraform-plan-comment,deployment,596,16,2,7,13,4,91,4,559,30,14,24,3,559000
brown-ccv,alex-recommends,code review,363,23,12,6,3,4,28,6,1178,26,14,21,11,1178000
chf007,action-wechat-work,chat,10,30,3,9,16,2,36,3,863,17,3,10,2,863000
chrisdickinson,setup-yq,utilities,8,21,1,1,21,4,28,4,44,14,3,7,1,44000
cloudflare,pages-action,deployment,44,30,2,8,99,14,472,17,263,30,17,30,0,263000
codfish,semantic-release-action,deployment,532,30,5,29,20,3,114,9,682,30,3,30,0,682000
corymhall,cdk-diff-action,continuous integration,845,30,4,30,10,1,47,5,99746,30,8,30,1,99746000
crazy-max,ghaction-import-gpg,security,574,30,10,30,79,6,330,9,8345,30,12,30,5,8345000
crazy-max,ghaction-setup-containerd,utilities,590,30,8,11,1,3,18,3,5091,30,7,30,5,5091000
crazy-max,ghaction-upx,deployment,577,30,6,16,3,3,56,5,11377,30,4,30,4,11377000
crazyurus,miniprogram-action,deployment,934,13,1,2,9,1,14,1,160,6,3,1,0,160000
dailydotdev,action-devcard,utilities,190,30,4,14,15,4,98,9,12119,30,5,30,3,12119000
danielpalme,reportgenerator-github-action,testing,9,30,1,30,7,2,74,3,472,21,0,6,0,472000
darenm,setup-vstest,testing,33,30,8,5,8,2,24,4,3776,29,4,23,4,3776000
dataaxiom,ghcr-cleanup-action,container ci,67,30,7,16,5,1,32,6,10594,30,7,30,6,10594000
davelosert,vitest-coverage-report-action,testing,38,30,6,20,22,3,172,13,7034,30,10,30,1,7034000
davidb,rust-cargo-make,deployment,32,30,4,14,6,3,32,4,2338,30,0,30,0,2338000
dawidd6,action-ansible-playbook,deployment,11,30,1,18,69,5,319,10,1004,30,9,30,0,1004000
de-vri-es,setup-git-credentials,security,11,30,1,11,21,4,90,7,9641,30,2,13,0,9641000
descope,assume-aws-role-from-gcp-action,security,669,30,10,3,0,2,13,5,17378,30,10,30,9,17378000
dessant,lock-threads,project management,35,30,1,12,36,10,316,3,1878,30,6,14,3,1878000
devops-actions,json-to-file,utilities,51,30,2,5,13,1,12,6,1347,30,1,30,1,1347000
dhall-lang,setup-dhall,dependency management,8,30,1,5,7,4,15,5,56,11,3,6,0,56000
di-sukharev,opencommit,utilities,234,30,19,3,344,26,6351,30,10079,30,155,30,5,10079000
dineshsonachalam,markdown-autodocs,deployment,6,30,17,8,17,2,186,3,8955,30,2,19,0,8955000
dkershner6,aws-ssm-getparameters-action,deployment,743,30,8,6,16,3,25,5,2214,30,6,30,4,2214000
dkershner6,jest-coverage-commenter-action,code review,665,30,30,6,5,3,14,2,1029,30,29,30,19,1029000
dlemstra,code-sign-action,security,9,30,1,1,67,2,32,9,243,22,0,15,0,243000
docker,setup-buildx-action,container ci,709,30,3,30,171,17,1041,11,27403,30,13,30,0,27403000
docker-practice,actions-setup-docker,container ci,4,30,3,15,36,3,95,3,737,30,15,9,2,737000
dorny,test-reporter,testing,134,30,14,15,218,15,875,30,13597,30,123,30,8,13597000
dotnet,nbgv,project management,312,30,7,7,8,6,53,6,19222,30,5,30,5,19222000
dromara,issues-translate-action,localization,149,30,12,11,28,7,196,4,978,30,11,30,6,978000
dynatrace-oss,dynatrace-github-action,utilities,23,30,18,9,7,5,32,6,902,30,22,30,7,902000
editorconfig-checker,action-editorconfig-checker,utilities,32,30,1,6,5,9,22,7,606,30,0,30,0,606000
einaregilsson,beanstalk-deploy,deployment,0,30,6,20,138,4,629,12,74,30,40,30,4,74000
endorlabs,github-action,security,650,30,15,11,2,15,45,16,8474,30,1,30,1,8474000
eregon,publish-release,deployment,54,23,3,8,9,3,38,5,287,15,1,11,1,287000
errata-ai,vale-action,testing,97,30,4,16,52,8,204,20,46066,30,18,30,1,46066000
exercism,pr-commenter-action,code review,35,30,3,8,16,4,39,9,289,30,5,30,2,289000
expo,expo-github-action,deployment,14,30,30,30,80,7,833,30,30076,30,43,30,6,30076000
fabasoad,twilio-voice-call-action,utilities,351,30,1,29,2,2,16,6,18089,30,0,30,0,18089000
fjogeleit,yaml-update-action,utilities,58,30,3,27,48,5,148,11,3978,30,6,30,2,3978000
forcedotcom,run-code-analyzer,security,150,30,5,3,3,5,45,3,2360,30,4,30,3,2360000
fpicalausa,remove-stale-branches,utilities,28,30,7,16,11,3,20,8,2290,30,15,17,3,2290000
frictionlessdata,frictionless-ci,code quality,5,30,3,2,12,10,39,8,3794,30,14,18,2,3794000
fwilhe2,setup-kotlin,continuous integration,489,30,7,21,7,2,31,5,4708,30,2,30,2,4708000
gabrielfalcao,pyenv-action,dependency management,35,30,16,18,20,4,39,7,1999,30,22,30,13,1999000
gagoar,codeowners-generator,utilities,97,30,6,7,10,5,57,15,1449,30,12,30,4,1449000
game-ci,unity-builder,game ci,922,30,19,30,269,16,883,30,89242,30,78,30,15,89242000
gautamkrishnar,keepalive-workflow,utilities,83,30,2,27,28,3,191,16,701,30,0,23,0,701000
getong,mariadb-action,container ci,249,30,1,12,9,3,25,6,34,17,2,11,0,34000
github,accessibility-alt-text-bot,utilities,344,30,23,9,16,7,78,8,9239,30,3,30,0,9239000
github,branch-deploy,deployment,51,30,1,30,50,67,421,18,31597,30,4,30,0,31597000
github,combine-prs,utilities,36,30,4,19,6,66,121,10,2940,30,7,30,2,2940000
github,command,utilities,48,30,1,10,6,39,109,5,3663,30,2,30,0,3663000
google-github-actions,deploy-cloudrun,deployment,92,30,3,30,120,11,490,16,4550,30,6,30,1,4550000
google-github-actions,get-gke-credentials,deployment,43,30,3,24,39,5,108,9,3828,30,1,30,0,3828000
google-github-actions,upload-cloud-storage,deployment,106,30,3,30,51,11,233,11,7540,30,0,30,0,7540000
grassedge,git-pr-release-action,deployment,431,11,16,1,9,1,15,1,1819,24,20,20,16,1819000
h5bp,server-configs-test,testing,177,30,2,30,17,6,42,4,5584,30,0,30,0,5584000
jimmygchen,runner-fallback-action,utilities,14,30,9,2,7,4,21,4,291,27,6,27,6,291000
jitterbit,get-changed-files,utilities,653,30,15,1,145,5,230,2,408,30,50,30,20,408000
joao-zanutto,get-selected,utilities,38,20,4,3,0,1,18,1,412,16,4,14,3,412000
jontze,action-mdbook,deployment,801,30,3,13,3,1,14,4,3379,30,4,30,1,3379000
jpb06,jest-badges-action,testing,673,30,3,30,19,2,35,3,1600,30,0,30,0,1600000
julia-actions,registeraction,publishing,22,11,1,7,4,3,17,1,869,13,6,5,1,869000
julia-actions,install-juliaup,continuous integration,41,30,5,13,2,2,17,2,1031,30,9,30,4,1031000
jwgmeligmeyling,pmd-github-action,security,70,11,12,2,9,2,13,2,1040,30,16,30,6,1040000
kamilkisiela,bob,continuous integration,541,30,10,23,12,7,48,13,1310,30,19,30,1,1310000
kanadgupta,glitch-sync,deployment,5,30,1,7,19,1,45,2,1113,30,0,30,0,1113000
kanga333,variable-mapper,utilities,18,30,2,6,34,4,44,3,796,30,7,30,2,796000
kevin-david,zipalign-sign-android-release,publishing,17,30,3,4,9,2,23,10,41894,23,1,23,1,41894000
kiegroup,git-backporting,continuous integration,68,30,1,27,9,2,19,8,2487,30,10,30,0,2487000
kiegroup,github-action-build-chain,utilities,103,30,11,30,25,5,86,11,5426,30,28,30,1,5426000
