repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics,lang_shell,lang_makefile,lang_cplusplus,lang_typescript,lang_nix,lang_jinja,lang_css,lang_smarty,lang_dockerfile,lang_mustache,lang_java,lang_rust,lang_python,lang_swift,lang_objective_c,lang_javascript,lang_php,lang_odin,lang_hcl,lang_agda,lang_cmake,lang_c#,lang_nunjucks,lang_batchfile,lang_dart,lang_lua,lang_html,lang_handlebars,lang_vue,lang_powershell,lang_kotlin,lang_ruby,lang_julia,lang_jq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,network_count,subscribers_count,languages
10up,action-repo-automator,code review,50,0,0,2,0,2,cwe-020,2.0,30,3,7,4,43,18,5,3775,30,3,30,0,3775000,23," github-actions,  pull-request, automation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GitHub Action to automate common repo operations like validate PR description, changelog, and credits.",JavaScript,MIT License,True,True,19.0,4.0,43.0,['JavaScript']
1password,load-secrets-action,security,21,2,2,0,1,5," cwe-078,  cwe-088,  cwe-200,  cwe-284,  cwe-506, cwe-020",5.0,30,6,11,29,14,208,10,452,30,19,30,3,452000,12," 1password-connect,  github-actions,  secrets-management,  service-accounts, 1password",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Load secrets from 1Password into your GitHub Actions jobs,TypeScript,MIT License,False,True,211.0,30.0,14.0,"['TypeScript', 'Shell', 'JavaScript']"
42crunch,api-security-audit-action,testing,94,0,1,0,0,1,cwe-1333,1.0,30,3,3,14,4,33,4,3253,24,0,19,0,3253000,9,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TypeScript,Apache License 2.0,False,False,34.0,14.0,4.0,"['TypeScript', 'Dockerfile']"
8398a7,action-slack,chat,59,0,1,1,0,2," cwe-918, cwe-200",2.0,30,6,30,134,5,595,25,6527,30,31,30,1,6527000,11," slack,  typescript, github-actions",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Provides the function of slack notification to GitHub Actions.,TypeScript,MIT License,False,True,597.0,134.0,5.0,"['TypeScript', 'Shell', 'JavaScript']"
alexsim93,pull-request-analytics-action,monitoring,79,3,1,1,0,5," cwe-200,  cwe-284, cwe-020",5.0,30,5,30,11,3,118,4,1324,30,1,30,0,1324000,10," code-review,  github-actions,  management,  measurements,  pull-request-tracker,  statistics, analytics",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Provides informative reports on team and developer metrics, based on data from pull requests and code reviews",TypeScript,MIT License,True,False,119.0,14.0,3.0,"['TypeScript', 'JavaScript', 'Shell']"
anmol-baranwal,devtogithub,utilities,2,0,1,0,0,1,cwe-020,1.0,30,2,3,0,2,16,2,731,3,0,2,0,731000,16," dev-api,  devto,  github-action,  github-config,  save,  workflow, actions-workflow",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Save your DEV.to articles and reading list on GitHub with a bunch of useful options.,TypeScript,MIT License,False,True,16.0,0.0,2.0,"['TypeScript', 'JavaScript']"
apple-actions,download-provisioning-profiles,mobile,48,1,4,4,0,9," cwe-20,  cwe-287,  cwe-327,  cwe-400,  cwe-74,  n/a, cwe-1333",9.0,18,3,3,38,12,75,3,1144,17,8,9,2,1144000,9," apple,  github-actions, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Github Action for downloading provisioning profiles from Apple AppStore Connect,TypeScript,MIT License,False,True,76.0,38.0,12.0,"['TypeScript', 'JavaScript']"
artiomtr,jest-coverage-report-action,monitoring,348,1,4,14,2,21," cwe-080,  cwe-116,  cwe-1321,  cwe-1333,  cwe-184,  cwe-285,  cwe-367,  cwe-400,  cwe-506,  cwe-674,  cwe-74,  cwe-835,  n/a, cwe-020",21.0,30,16,30,145,4,508,30,15362,30,42,30,4,15362000,13," actions,  annotations,  coverage-reporters,  github-action,  github-actions,  github-actions-ci,  jest,  threshold, action",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Track your code coverage in every pull request.,TypeScript,MIT License,True,True,513.0,145.0,4.0,"['TypeScript', 'JavaScript', 'Shell']"
azure,cli,deployment,26,0,0,1,0,1," cwe-378, cwe-377",1.0,30,30,14,54,20,134,21,3931,30,11,30,1,3931000,21,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automate your GitHub workflows using Azure CLI scripts,TypeScript,MIT License,True,True,137.0,54.0,20.0,['TypeScript']
azure,k8s-deploy,deployment,214,0,0,6,0,6," cwe-377,  cwe-378, cwe-020",6.0,30,30,27,105,21,263,30,31595,30,28,30,4,31595000,23," actions,  azure,  deploy,  github-action,  github-actions,  k8s,  kubernetes, action",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action for deploying to Kubernetes clusters,TypeScript,MIT License,True,True,266.0,107.0,21.0,"['TypeScript', 'Python', 'Mustache', 'JavaScript']"
